run,result_safeBatchTransferFrom_post_base_llm,result_safeBatchTransferFrom_post_llm_base,result_safeTransferFrom_post_base_llm,result_safeTransferFrom_post_llm_base,spec_safeBatchTransferFrom_post_base_llm,spec_safeBatchTransferFrom_post_llm_base,spec_safeTransferFrom_post_base_llm,spec_safeTransferFrom_post_llm_base,refines all
1,ERROR,ERROR,OK,ERROR,Mocked base_llm_spec,"/// @notice postcondition forall (uint i) !(0 <= i && i < _ids.length && _from != _to) || (_balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i])
",Mocked base_llm_spec,"/// @notice postcondition _balances[_id][_from] == __verifier_old_uint ( _balances[_id][_from] ) - _value
",No
2,,,OK,ERROR,,,Mocked base_llm_spec,"/// @notice postcondition _balances[_id][_to] == __verifier_old_uint(_balances[_id][_to]) + _value
",No
3,,,OK,ERROR,,,Mocked base_llm_spec,N/A,No
4,ERROR,ERROR,OK,ERROR,Mocked base_llm_spec,"/// @notice postcondition forall (uint i) !(0 <= i && i < _ids.length && _from != _to) || (_balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i])
",Mocked base_llm_spec,"/// @notice postcondition _balances[_id][_to] == __verifier_old_uint ( _balances[_id][_to] ) + _value
",No
5,,,OK,ERROR,,,Mocked base_llm_spec,"/// @notice postcondition _balances[_id][_to] == __verifier_old_uint ( _balances[_id][_to] ) + _value
",No
6,ERROR,ERROR,OK,ERROR,Mocked base_llm_spec,"/// @notice postcondition forall (uint i) !(0 <= i && i < _ids.length && _from != _to) || (_balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i])
",Mocked base_llm_spec,"/// @notice postcondition _balances[_id][_to] == __verifier_old_uint ( _balances[_id][_to] ) + _value
",No
7,,,OK,ERROR,,,Mocked base_llm_spec,"/// @notice postcondition _balances[_id][_to] == __verifier_old_uint ( _balances[_id][_to] ) + _value
",No
8,ERROR,OK,OK,ERROR,Mocked base_llm_spec,"/// @notice postcondition forall (uint i) !(0 <= i && i < _ids.length && _from != _to) || (_balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i])
",Mocked base_llm_spec,"/// @notice postcondition _balances[_id][_to] == __verifier_old_uint ( _balances[_id][_to] ) + _value
",No
9,ERROR,OK,OK,ERROR,Mocked base_llm_spec,"/// @notice postcondition forall (uint i) !(0 <= i && i < _ids.length && _from != _to) || (_balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i])
",Mocked base_llm_spec,"/// @notice postcondition _balances[_id][_to] == __verifier_old_uint(_balances[_id][_to]) + _value
",No
10,ERROR,ERROR,OK,ERROR,Mocked base_llm_spec,"/// @notice postcondition forall (uint i) !(0 <= i && i < _ids.length && _from != _to) || (_balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i])
",Mocked base_llm_spec,"/// @notice postcondition _balances[_id][_to] == __verifier_old_uint ( _balances[_id][_to] ) + _value
",No
